Assemblage_Name	3862864-3-0	8392099-1-8998437	4-2776581-2026875	3673796-1-933038	3673796-9554260-8998437	2-8820611-7102447	8116519-3-0	4-2776581-4848079	9627451-9663887-9645566	2-8820611-2445671	5956986-4-7029958	3673796-1-3	79096-4-9223646	5956986-4-7224229	5933490-2776581-0	7347025-3-0	92220-2776581-6867674	3673796-4664560-8998437	3673796-4941969-8998437	8014427-3-8369990	4-7442626-0	2418999-1799178-5106890	2-1557203-5190323	8014427-3-1	4-2776581-5485096	6635322-2776581-8487496	1323152-130645-4286526	1239358-8820611-4	4-8337970-0	3718446-3-1	4-2776581-8040578	2-5032552-4	3673796-7028434-8998437	2260587-2776581-8817014	3865392-4-9223646	2-4026902-4	4-1707336-3642900	3673796-1-8998437	5792220-3-0	3673796-4576564-8998437	515322-3-4286526	1386676-9663887-7105388	4-4274933-0	872963-3-4286526	1658019-9684182-0	1323152-2651177-0	7632876-2776581-5485096	8907090-1-8998437	3-2-3	7831330-2776581-0	4-2315825-0	3-3-4887441	2702122-7585572-0	9431925-4581658-0	2702122-2776581-0	9443046-1-3	1323152-3-3632269	4-2776581-2338604	2-1557203-4	1-4517566-1274353	9585843-2776581-0	3-3-0	1-4-9863746	1-4168790-8693638	1323152-3-6998928	3-2239610-2	4-2776581-5226460	5395935-1-8998437	6070819-4-9223646	0-1-3	121784-2776581-0	1323152-3-4286526	6070819-4-431867	2-6809284-7102447	9627451-9663887-1	1-4-1274353	1323152-3-6319392	4-418782-9154471	3673796-8847308-8998437	4-8059902-5915075	9627451-3-1	4-9313164-9154471	2152038-1-8998437	1323152-3-7666699	1323152-3-9004763	3673796-1-9663462	5956986-4-750769	1514202-2776581-5485096	1-4168790-1	1323152-7882437-4286526	1-1799178-5106890	4-2776581-0	4-2776581-9154471	7961692-3-0	8446424-8820611-4	2260587-2776581-6867674	3673796-1-4227406	6535023-3-0	5956986-4-9628573	4-2776581-457765	4-2776581-6398026	1-1799178-5617331	1-2-4	2730607-1-3044418	1323152-3-0	3673796-1-6290556	9228913-4168790-8693638	4-3-0	9627451-9663887-5536727	1-4-6458563	4-2776581-8487496	8831714-2776581-4848079	7290466-3-0	1025219-3-4286526	4-2144745-0	1-1799178-1	1-7979491-6458563	2-3-1	9627451-3-8036519	8028539-4168790-9307296	7696551-1-8998437	1658019-3-0	1323152-4792787-4286526	8070292-3-0	1323152-5550918-0	4-2776581-3642900	2-62843-7102447	7367200-1-8998437	1323152-3-2161880	2-1193870-4	6648365-1799178-1	4-9988577-0	2419764-2776581-0	897625-2776581-0	1323152-7100461-0	6013535-2776581-5485096	5956986-4-1274353	3-3-774170	4-8912547-0	4-2524792-5485096	6457863-2776581-0	515322-3-8261115	2-8820611-2488108	2-6250329-4	2-4911739-4	9339916-8820611-4	7145127-8820611-4	4-2776581-8367462	8676272-3-1	3673796-3836874-8998437	1-4-3	1495658-7085401-0	3673796-1-3473921	1-2566347-1274353	6850292-8059902-5915075	1323152-3-102041	9470001-2776581-0	7026161-2776581-6867674	9647937-3-0	8898833-4-1274353	4-2315825-5935957	9431925-3-0	4-9943677-6867674	1646598-8820611-4	1229816-2776581-5485096	3601972-2776581-8487496	1323152-552185-0	7720415-2776581-6154328	3-9944486-774170	1323152-3-7500645	698962-2776581-6867674	3673796-4720200-8998437	2-8820611-4	653321-2776581-9154471	9627451-9663887-7105388	6030638-9313164-9154471	4-1967971-0	1323152-4983846-4286526	7720415-2776581-0	7988091-3-4286526	3673796-1-2357672	1-4-9525559	4-2776581-6867674	2205194-4-1274353	2730607-1-8998437	1-4-9223646	1-1799178-4268965	6457863-2366898-0	2-3232012-4	6551674-2776581-8487496	4-2776581-4941746	3281692-3-1	3-9371550-0	1323152-3-9607848	3240719-4-431867	4-2451018-6867674	2-7028331-7102447	4-1063165-0	1409951-2776581-9154471	1323152-4564531-4286526	9776965-2776581-9154471	0-3-5276479	2639167-8820611-4	1-4-3254346	1-8904213-1	1323152-3-3669741	2205194-5764275-1274353	4-7707465-3642900	7713891-3-5276479	1495658-2776581-0	1323152-3-5090395	3673796-5175899-8998437
assemblage-696-326	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	17	0	17	0	0	0	0	0	0	0	0	0	0	8	0	8	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	93	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	15	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	59
assemblage-404-579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	57	33	8	0	0	0	0	0	0	0	0	0	0	29	0	0	32	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	97	0	0	0	0	0	0	0	0	0	14	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44
assemblage-596-514	0	0	0	0	0	32	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	4	0	22	0	0	0	0	0	0	0	0	0	0	6	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	21	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	46	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	13	0	0	0	0	11	0	0	8	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	19	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53
assemblage-387-549	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	10	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	8	31	41	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	18	0	0	0	0	9	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49
assemblage-612-665	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	23	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	6	0	0	0	0	14	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54
assemblage-432-615	0	0	0	0	0	11	0	0	0	0	10	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	54	31	7	0	0	0	0	19	0	0	0	0	0	30	0	0	23	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	19	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39
assemblage-767-668	0	0	0	0	0	24	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	80	0	0	0	0	0	0	0	0	0	0	0	51	0	0	15	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	4	0	0	8	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	5	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	24	0	0	17	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	55
assemblage-525-510	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	28	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	0	0	50	0	0	22	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	19	0	0	2	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	25	0	0	0	0	0	0	0	8	0	32	0	0	18	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43
assemblage-543-479	0	0	0	0	0	20	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	11	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	48	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	10	0	0	0	0	15	0	0	12	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	31	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58
assemblage-275-306	0	0	0	0	0	24	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	11	0	29	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	44	0	0	0	6	0	0	0	0	0	0	0	68	0	0	0	0	0	17	0	0	0	0	17	0	0	24	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56
assemblage-436-616	0	10	0	8	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	33	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	17	0	32	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	16	0	0	26	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	9	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56
assemblage-535-590	0	0	0	0	0	20	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	18	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	45	0	0	0	0	0	0	0	0	0	0	0	59	0	0	14	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	9	0	0	5	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	9	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	18	0	10	14	0	0	0	0	0	0	18	0	0	0	9	0	0	0	0	0	0	0	0	0	6	0	0	0	0	41
assemblage-496-517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	74	11	16	0	0	0	5	0	0	0	0	0	0	26	0	0	43	3	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	12	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36
assemblage-511-550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	93	16	5	0	0	0	0	0	0	0	0	0	0	30	0	0	28	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	7	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	6	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46
assemblage-565-445	0	0	0	0	0	18	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	9	0	16	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	39	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	8	0	0	0	0	9	0	0	15	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	40	0	6	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57
assemblage-392-520	0	0	0	4	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	6	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	27	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	10	0	54	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	34	0	0	30	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	11	0	0	0	0	0	0	58	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55
assemblage-529-483	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	21	0	7	0	0	0	0	0	0	0	0	0	0	8	0	6	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	42	0	0	0	0	0	0	0	20	0	0	74	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	25	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	7	0	0	0	7	0	0	0	0	0	0	0	0	0	56
assemblage-530-503	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	6	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	16	0	17	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	29	0	0	0	0	0	0	0	12	0	0	97	0	11	0	0	0	0	0	0	0	0	0	0	18	0	0	43	0	0	0	0	0	0	0	30	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	60
assemblage-663-385	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	8	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	20	0	12	0	0	0	0	0	0	0	0	0	0	3	0	18	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	51	0	0	0	0	0	0	0	4	0	0	67	0	19	0	0	0	0	0	0	0	0	0	0	6	0	0	42	0	0	0	0	0	0	0	32	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68
assemblage-548-384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	7	0	5	0	0	0	0	0	0	0	0	0	0	32	0	10	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	100	7	19	0	0	0	0	0	0	0	0	0	0	7	0	4	31	0	0	0	0	0	0	0	24	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74
assemblage-499-650	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	21	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	70	42	0	0	0	0	0	0	0	0	0	0	0	65	0	0	45	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	21	0	0	12	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	48
assemblage-291-504	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	3	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	32	0	15	0	4	0	7	0	0	0	0	0	0	10	0	11	0	0	0	0	0	0	0	0	0	0	14	32	0	0	0	0	28	0	0	0	0	0	0	0	12	0	0	79	0	12	13	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	15	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	55
assemblage-436-466	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	5	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	67	18	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	4	0	0	0	0	17	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43
assemblage-502-519	0	15	0	11	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	39	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	2	0	38	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	25	0	0	32	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	6	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50
assemblage-529-551	0	0	0	4	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	32	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	30	0	0	20	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	4	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56
assemblage-472-658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	59	0	14	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	80	0	7	0	0	0	0	0	0	0	0	0	0	11	0	9	24	0	0	0	0	0	0	0	20	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	15	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	53
assemblage-521-552	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	21	0	0	0	0	0	7	0	0	24	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	13	0	0	0	0	6	0	0	0	0	0	21	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	21	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43
